timestamp,open,high,low,close,volume
2024-01-01 00:00:00,42283.58000000,42554.57000000,42261.02000000,42475.23000000,1271.68108000
2024-01-01 01:00:00,42475.23000000,42775.00000000,42431.65000000,42613.56000000,1196.37856000
2024-01-01 02:00:00,42613.57000000,42638.41000000,42500.00000000,42581.10000000,685.21980000
2024-01-01 03:00:00,42581.09000000,42586.64000000,42230.08000000,42330.49000000,794.80391000
2024-01-01 04:00:00,42330.50000000,42399.99000000,42209.46000000,42399.99000000,715.41760000
2024-01-01 05:00:00,42399.98000000,42406.00000000,42180.77000000,42234.01000000,736.53152000
2024-01-01 06:00:00,42234.01000000,42424.82000000,42208.68000000,42396.69000000,601.37250000
2024-01-01 07:00:00,42396.69000000,42500.00000000,42396.68000000,42492.46000000,653.67718000
2024-01-01 08:00:00,42492.46000000,42556.50000000,42452.58000000,42549.99000000,427.19365000
2024-01-01 09:00:00,42550.00000000,42699.32000000,42537.18000000,42649.69000000,879.62491000
2024-01-01 10:00:00,42649.69000000,42749.36000000,42628.00000000,42691.10000000,856.81851000
2024-01-01 11:00:00,42691.10000000,42762.39000000,42605.21000000,42690.20000000,785.16567000
2024-01-01 12:00:00,42690.21000000,42780.00000000,42611.45000000,42648.38000000,785.52851000
2024-01-01 13:00:00,42648.37000000,42748.00000000,42612.76000000,42715.54000000,497.20240000
2024-01-01 14:00:00,42715.54000000,42715.55000000,42580.00000000,42612.24000000,711.01152000
2024-01-01 15:00:00,42612.24000000,42847.07000000,42586.51000000,42783.05000000,942.70163000
2024-01-01 16:00:00,42783.05000000,42856.00000000,42664.42000000,42725.15000000,918.71056000
2024-01-01 17:00:00,42725.15000000,42824.90000000,42704.42000000,42812.70000000,677.33678000
2024-01-01 18:00:00,42812.71000000,43208.86000000,42812.70000000,43111.10000000,2143.30897000
2024-01-01 19:00:00,43111.10000000,43550.00000000,43103.64000000,43517.99000000,1947.61533000
2024-01-01 20:00:00,43517.98000000,43829.99000000,43510.71000000,43687.86000000,2905.07295000
